description,startTime,endTime,duration,status
Aanmaken aanmaken met gebruik van de KvK koppeling in een geconverteerde omgeving - Mantel Utrecht B.V.,2025-05-23 07:50:19,2025-05-23 07:55:00,281006,Succeeded
Instellen variabelen administratie urls na aanmaken adminstratie,2025-05-23 07:55:00,2025-05-23 07:55:01,568,Succeeded
Instellen variabelen administratie urls 3,2025-05-23 07:55:02,2025-05-23 07:55:03,764,Succeeded
Instellen variabelen,2025-05-23 07:55:03,2025-05-23 07:55:04,604,Succeeded
Instellen variabelen administratie urls 1,2025-05-23 07:55:05,2025-05-23 07:55:07,1265,Succeeded
Aanmaken nieuwe auditfile op basis van boekjaar in ICT B.V.,2025-05-23 07:55:07,2025-05-23 07:55:43,36363,Succeeded
Aanmaken nieuwe auditfile op basis van periode in ICT B.V.,2025-05-23 07:55:43,2025-05-23 07:56:04,20454,Succeeded
Importeren Import definities part 7,2025-05-23 07:56:06,2025-05-23 07:56:33,27303,Succeeded
Importeren Import definities part 6,2025-05-23 07:56:34,2025-05-23 07:57:01,27004,Succeeded
Importeren Import definities part 5,2025-05-23 07:57:02,2025-05-23 07:57:29,26612,Succeeded
Importeren Import definities part 4,2025-05-23 07:57:30,2025-05-23 07:58:50,80319,Succeeded
Importeren Import definities part 3,2025-05-23 07:58:51,2025-05-23 07:59:25,34000,Succeeded
Importeren Import definities part 2,2025-05-23 07:59:26,2025-05-23 07:59:54,27184,Succeeded
Importeren Import definities part 1,2025-05-23 07:59:55,2025-05-23 08:00:28,33792,Succeeded
Import volledige e-inkoopfactuur,2025-05-23 08:00:30,2025-05-23 08:01:01,31621,Succeeded
Import onvolledige e-inkoopfactuur,2025-05-23 08:01:02,2025-05-23 08:01:15,13429,Succeeded
Grootboekrekening wijzigen,2025-05-23 08:01:16,2025-05-23 08:01:28,11952,Succeeded
Grootboekrekening kopiëren,2025-05-23 08:01:29,2025-05-23 08:01:44,15063,Succeeded
Controle op conversie van geblokkeerde grootboekrekening - Nummer mag niet leeg zijn,2025-05-23 08:01:44,2025-05-23 08:01:54,9963,Succeeded
Verkoopregels activering aan ict b.v.,2025-05-23 08:01:55,2025-05-23 08:02:08,13414,Succeeded
Activering verkoopregels aan in import b.v.,2025-05-23 08:02:10,2025-05-23 08:02:28,18158,Succeeded
Verkoopproduct voor gebruik forfatair / Speciaal tarief toevoegen,2025-05-23 08:02:30,2025-05-23 08:02:47,16974,Succeeded
Activering inschakelen voor verkoop op rekening met forfatair / Speciaal btw-tarief,2025-05-23 08:02:47,2025-05-23 08:03:00,12877,Succeeded
Voorbereiding - Verkoop op rekening met forfatair / Speciaal btw-tarief,2025-05-23 08:03:00,2025-05-23 08:03:19,19098,Succeeded
Controle van fiscale plan bij vaste activa. Restwaarde moet aangevinkt zijn.,2025-05-23 08:03:20,2025-05-23 08:05:00,99986,Succeeded
inrichten van betalingskorting op de inkoopfactuur - crediteur niveau,2025-05-23 08:05:02,2025-05-23 08:05:16,14209,Succeeded
Aanmaken Rabobank rekening bij Holding t.b.v. inlezen Rabobank Payments Insight bestand.,2025-05-23 08:05:17,2025-05-23 08:05:36,18697,Succeeded
Aanmaken ondernemer in Internet,2025-05-23 08:05:37,2025-05-23 08:05:52,14719,Succeeded
Nieuwe ING bank/spaarrekening NL05INGB6289099205 toevoegen,2025-05-23 08:05:53,2025-05-23 08:06:21,27737,Succeeded
Dubbele inkoopfactuur 1 aanmaken,2025-05-23 08:06:22,2025-05-23 08:06:38,15893,Succeeded
Aanmaken vast activa in ICT B.V. (testen POA 293743),2025-05-23 08:06:40,2025-05-23 08:06:59,19273,Succeeded
