description,startTime,endTime,duration,status
Aanmaken aanmaken met gebruik van de KvK koppeling in een geconverteerde omgeving - Mantel Utrecht B.V.,2025-05-09 11:40:42,2025-05-09 11:46:30,347693,Succeeded
Instellen variabelen administratie urls na aanmaken adminstratie,2025-05-09 11:46:30,2025-05-09 11:46:34,4493,Succeeded
Instellen variabelen administratie urls 3,2025-05-09 11:46:36,2025-05-09 11:46:37,777,Succeeded
Instellen variabelen,2025-05-09 11:46:37,2025-05-09 11:46:37,431,Succeeded
Instellen variabelen administratie urls 1,2025-05-09 11:46:38,2025-05-09 11:46:40,1514,Succeeded
Aanmaken nieuwe auditfile op basis van boekjaar in ICT B.V.,2025-05-09 11:46:40,2025-05-09 11:48:54,134344,Succeeded
Aanmaken nieuwe auditfile op basis van periode in ICT B.V.,2025-05-09 11:48:55,2025-05-09 11:49:19,24747,Succeeded
Importeren Import definities part 7,2025-05-09 11:49:22,2025-05-09 11:49:52,30669,Succeeded
Importeren Import definities part 6,2025-05-09 11:49:53,2025-05-09 11:50:22,28446,Succeeded
Importeren Import definities part 5,2025-05-09 11:50:23,2025-05-09 11:50:51,27837,Succeeded
Importeren Import definities part 4,2025-05-09 11:50:52,2025-05-09 11:52:34,101574,Succeeded
Importeren Import definities part 3,2025-05-09 11:52:35,2025-05-09 11:53:10,34655,Succeeded
Importeren Import definities part 2,2025-05-09 11:53:11,2025-05-09 11:53:39,27843,Succeeded
Importeren Import definities part 1,2025-05-09 11:53:40,2025-05-09 11:54:13,33449,Succeeded
Import volledige e-inkoopfactuur,2025-05-09 11:54:15,2025-05-09 11:55:11,56079,Succeeded
Import onvolledige e-inkoopfactuur,2025-05-09 11:55:11,2025-05-09 11:55:26,14609,Succeeded
Grootboekrekening wijzigen,2025-05-09 11:55:27,2025-05-09 11:55:50,23481,Succeeded
Grootboekrekening kopiëren,2025-05-09 11:55:51,2025-05-09 11:56:04,13766,Succeeded
Controle op conversie van geblokkeerde grootboekrekening - Nummer mag niet leeg zijn,2025-05-09 11:56:05,2025-05-09 11:56:14,9712,Succeeded
Verkoopregels activering aan ict b.v.,2025-05-09 11:56:16,2025-05-09 11:56:32,16731,Succeeded
Activering verkoopregels aan in import b.v.,2025-05-09 11:56:34,2025-05-09 11:57:28,54688,Succeeded
Verkoopproduct voor gebruik forfatair / Speciaal tarief toevoegen,2025-05-09 11:57:29,2025-05-09 11:58:20,50774,Succeeded
Activering inschakelen voor verkoop op rekening met forfatair / Speciaal btw-tarief,2025-05-09 11:58:21,2025-05-09 11:58:39,18938,Succeeded
Voorbereiding - Verkoop op rekening met forfatair / Speciaal btw-tarief,2025-05-09 11:58:40,2025-05-09 11:59:15,35198,Succeeded
Controle van fiscale plan bij vaste activa. Restwaarde moet aangevinkt zijn.,2025-05-09 11:59:16,2025-05-09 12:01:09,112857,Succeeded
inrichten van betalingskorting op de inkoopfactuur - crediteur niveau,2025-05-09 12:01:10,2025-05-09 12:01:25,15176,Succeeded
Aanmaken Rabobank rekening bij Holding t.b.v. inlezen Rabobank Payments Insight bestand.,2025-05-09 12:01:27,2025-05-09 12:01:53,26877,Succeeded
Aanmaken ondernemer in Internet,2025-05-09 12:01:55,2025-05-09 12:02:12,17297,Succeeded
Nieuwe ING bank/spaarrekening NL05INGB6289099205 toevoegen,2025-05-09 12:02:13,2025-05-09 12:03:22,68772,Succeeded
Dubbele inkoopfactuur 1 aanmaken,2025-05-09 12:03:23,2025-05-09 12:03:42,18774,Succeeded
Aanmaken vast activa in ICT B.V. (testen POA 293743),2025-05-09 12:03:43,2025-05-09 12:04:13,29862,Succeeded
Afschrijvingen triggeren ICT B.V.,2025-05-09 12:04:13,2025-05-09 12:04:24,10085,Succeeded
Aanmaken vaste activa - Consultancy B.V.,2025-05-09 12:04:25,2025-05-09 12:04:45,20165,Succeeded
Afschrijvingen triggeren,2025-05-09 12:04:45,2025-05-09 12:04:55,9352,Succeeded
Incassomachtigingen toevoegen in ICT B.V.,2025-05-09 12:04:56,2025-05-09 12:05:25,29388,Succeeded
Aanmaken verkoopfactuur met betaalwijze Incasso tbv controlelijst betalingen onderweg,2025-05-09 12:05:26,2025-05-09 12:06:23,57202,Succeeded
Betaling doen in Holding B.V.,2025-05-09 12:06:24,2025-05-09 12:07:50,85907,Succeeded
Controle op de betaling doen (betaalbestand controleren van Holding B.V.),2025-05-09 12:07:51,2025-05-09 12:08:00,9650,Succeeded
Voorbereiding - Bankmutatie negatief overige uitgave met sneltoetsen toevoegen,2025-05-09 12:08:02,2025-05-09 12:08:11,9731,Succeeded
Match op zoekwaarde (Uitgave),2025-05-09 12:08:12,2025-05-09 12:08:29,16598,Succeeded
Match op zoekwaarde (Ontvangst),2025-05-09 12:08:30,2025-05-09 12:08:43,12630,Succeeded
Match op zoekwaarde incl. btw (Uitgave),2025-05-09 12:08:44,2025-05-09 12:09:01,17250,Succeeded
Match op zoekwaarde incl. btw (Ontvangst),2025-05-09 12:09:02,2025-05-09 12:09:27,24594,Succeeded
Afletterregel VPB (betalingskenmerk belastingdienst),2025-05-09 12:09:28,2025-05-09 12:10:01,33127,Succeeded
Afletterregel OB (betalingskenmerk belastingdienst),2025-05-09 12:10:03,2025-05-09 12:10:15,12418,Succeeded
Controle afletterregel OB (betalingskenmerk belastingdienst),2025-05-09 12:10:15,2025-05-09 12:10:26,11013,Succeeded
Afletterregel overboeking naar/overboeking van,2025-05-09 12:10:28,2025-05-09 12:11:47,79000,Succeeded
Afletterregel Motorrijtuigenbelasting (betalingskenmerk belastingdienst),2025-05-09 12:11:48,2025-05-09 12:11:57,9153,Succeeded
Afletterregel loonheffing naheffing (betalingskenmerk belastingdienst) niet afletteren,2025-05-09 12:11:58,2025-05-09 12:12:11,12519,Succeeded
Afletterregel loonheffing naheffing (betalingskenmerk belastingdienst),2025-05-09 12:12:12,2025-05-09 12:12:23,11075,Succeeded
Afletterregel loonheffing (betalingskenmerk belastingdienst),2025-05-09 12:12:24,2025-05-09 12:12:35,11080,Succeeded
Afletterregel Loonheffing november 2023,2025-05-09 12:12:36,2025-05-09 12:12:47,11326,Succeeded
