description,startTime,endTime,duration,status
Aanmaken aanmaken met gebruik van de KvK koppeling in een geconverteerde omgeving - Mantel Utrecht B.V.,2025-05-24 15:53:34,2025-05-24 15:57:59,265562,Succeeded
Instellen variabelen administratie urls na aanmaken adminstratie,2025-05-24 15:58:00,2025-05-24 15:58:04,4554,Succeeded
Instellen variabelen administratie urls 3,2025-05-24 15:58:06,2025-05-24 15:58:06,873,Succeeded
Instellen variabelen,2025-05-24 15:58:07,2025-05-24 15:58:07,347,Succeeded
Instellen variabelen administratie urls 1,2025-05-24 15:58:08,2025-05-24 15:58:09,326,Succeeded
Aanmaken nieuwe auditfile op basis van boekjaar in ICT B.V.,2025-05-24 15:58:09,2025-05-24 15:58:49,40021,Succeeded
Aanmaken nieuwe auditfile op basis van periode in ICT B.V.,2025-05-24 15:58:49,2025-05-24 15:59:10,20649,Succeeded
Importeren Import definities part 7,2025-05-24 15:59:12,2025-05-24 15:59:39,27845,Succeeded
Importeren Import definities part 6,2025-05-24 15:59:41,2025-05-24 16:00:08,27730,Succeeded
Importeren Import definities part 5,2025-05-24 16:00:09,2025-05-24 16:00:36,26987,Succeeded
Importeren Import definities part 4,2025-05-24 16:00:37,2025-05-24 16:01:57,79896,Succeeded
Importeren Import definities part 3,2025-05-24 16:01:59,2025-05-24 16:02:32,33725,Succeeded
Importeren Import definities part 2,2025-05-24 16:02:33,2025-05-24 16:03:00,26956,Succeeded
Importeren Import definities part 1,2025-05-24 16:03:01,2025-05-24 16:03:36,34293,Succeeded
Import volledige e-inkoopfactuur,2025-05-24 16:03:37,2025-05-24 16:04:09,31807,Succeeded
Import onvolledige e-inkoopfactuur,2025-05-24 16:04:09,2025-05-24 16:04:22,13170,Succeeded
Grootboekrekening wijzigen,2025-05-24 16:04:23,2025-05-24 16:04:38,14222,Succeeded
Grootboekrekening kopiëren,2025-05-24 16:04:38,2025-05-24 16:04:53,15087,Succeeded
Controle op conversie van geblokkeerde grootboekrekening - Nummer mag niet leeg zijn,2025-05-24 16:04:53,2025-05-24 16:05:03,10035,Succeeded
Verkoopregels activering aan ict b.v.,2025-05-24 16:05:05,2025-05-24 16:05:19,14156,Succeeded
Activering verkoopregels aan in import b.v.,2025-05-24 16:05:20,2025-05-24 16:05:42,21432,Succeeded
Verkoopproduct voor gebruik forfatair / Speciaal tarief toevoegen,2025-05-24 16:05:43,2025-05-24 16:06:03,20151,Succeeded
Activering inschakelen voor verkoop op rekening met forfatair / Speciaal btw-tarief,2025-05-24 16:06:04,2025-05-24 16:06:16,12576,Succeeded
Voorbereiding - Verkoop op rekening met forfatair / Speciaal btw-tarief,2025-05-24 16:06:17,2025-05-24 16:06:38,21513,Succeeded
Controle van fiscale plan bij vaste activa. Restwaarde moet aangevinkt zijn.,2025-05-24 16:06:39,2025-05-24 16:08:16,96659,Succeeded
inrichten van betalingskorting op de inkoopfactuur - crediteur niveau,2025-05-24 16:08:17,2025-05-24 16:08:32,14641,Succeeded
Aanmaken Rabobank rekening bij Holding t.b.v. inlezen Rabobank Payments Insight bestand.,2025-05-24 16:08:33,2025-05-24 16:08:52,19340,Succeeded
Aanmaken ondernemer in Internet,2025-05-24 16:08:53,2025-05-24 16:09:09,15515,Succeeded
Nieuwe ING bank/spaarrekening NL05INGB6289099205 toevoegen,2025-05-24 16:09:10,2025-05-24 16:09:41,30472,Succeeded
Dubbele inkoopfactuur 1 aanmaken,2025-05-24 16:09:42,2025-05-24 16:09:57,15060,Succeeded
