description,startTime,endTime,duration,status
Aanmaken aanmaken met gebruik van de KvK koppeling in een geconverteerde omgeving - Mantel Utrecht B.V.,2025-05-10 07:20:32,2025-05-10 07:26:24,351682,Succeeded
Instellen variabelen administratie urls na aanmaken adminstratie,2025-05-10 07:26:24,2025-05-10 07:26:25,985,Succeeded
Instellen variabelen administratie urls 3,2025-05-10 07:26:27,2025-05-10 07:26:28,1226,Succeeded
Instellen variabelen,2025-05-10 07:26:28,2025-05-10 07:26:34,5579,Succeeded
Instellen variabelen administratie urls 1,2025-05-10 07:26:35,2025-05-10 07:26:44,8750,Succeeded
Aanmaken nieuwe auditfile op basis van boekjaar in ICT B.V.,2025-05-10 07:26:44,2025-05-10 07:28:29,105080,Succeeded
Aanmaken nieuwe auditfile op basis van periode in ICT B.V.,2025-05-10 07:28:29,2025-05-10 07:28:52,22596,Succeeded
Importeren Import definities part 7,2025-05-10 07:28:54,2025-05-10 07:29:24,29882,Succeeded
Importeren Import definities part 6,2025-05-10 07:29:25,2025-05-10 07:29:53,27908,Succeeded
Importeren Import definities part 5,2025-05-10 07:29:54,2025-05-10 07:30:22,27894,Succeeded
Importeren Import definities part 4,2025-05-10 07:30:23,2025-05-10 07:31:46,82693,Succeeded
Importeren Import definities part 3,2025-05-10 07:31:47,2025-05-10 07:32:22,34530,Succeeded
Importeren Import definities part 2,2025-05-10 07:32:23,2025-05-10 07:32:50,27271,Succeeded
Importeren Import definities part 1,2025-05-10 07:32:51,2025-05-10 07:33:25,33675,Succeeded
Import volledige e-inkoopfactuur,2025-05-10 07:33:26,2025-05-10 07:34:48,81487,Succeeded
Import onvolledige e-inkoopfactuur,2025-05-10 07:34:48,2025-05-10 07:35:02,14180,Succeeded
Grootboekrekening wijzigen,2025-05-10 07:35:03,2025-05-10 07:35:27,23283,Succeeded
Grootboekrekening kopiëren,2025-05-10 07:35:27,2025-05-10 07:35:41,13835,Succeeded
Controle op conversie van geblokkeerde grootboekrekening - Nummer mag niet leeg zijn,2025-05-10 07:35:41,2025-05-10 07:35:51,9524,Succeeded
Verkoopregels activering aan ict b.v.,2025-05-10 07:35:52,2025-05-10 07:36:11,18861,Succeeded
Activering verkoopregels aan in import b.v.,2025-05-10 07:36:12,2025-05-10 07:37:00,47500,Succeeded
Verkoopproduct voor gebruik forfatair / Speciaal tarief toevoegen,2025-05-10 07:37:01,2025-05-10 07:37:49,47515,Succeeded
Activering inschakelen voor verkoop op rekening met forfatair / Speciaal btw-tarief,2025-05-10 07:37:49,2025-05-10 07:38:05,16041,Succeeded
Voorbereiding - Verkoop op rekening met forfatair / Speciaal btw-tarief,2025-05-10 07:38:05,2025-05-10 07:38:43,37543,Succeeded
Controle van fiscale plan bij vaste activa. Restwaarde moet aangevinkt zijn.,2025-05-10 07:38:45,2025-05-10 07:40:26,101444,Succeeded
inrichten van betalingskorting op de inkoopfactuur - crediteur niveau,2025-05-10 07:40:27,2025-05-10 07:40:43,15288,Succeeded
Aanmaken Rabobank rekening bij Holding t.b.v. inlezen Rabobank Payments Insight bestand.,2025-05-10 07:40:44,2025-05-10 07:41:10,26377,Succeeded
Aanmaken ondernemer in Internet,2025-05-10 07:41:11,2025-05-10 07:41:31,19330,Succeeded
Nieuwe ING bank/spaarrekening NL05INGB6289099205 toevoegen,2025-05-10 07:41:32,2025-05-10 07:42:41,69208,Succeeded
Dubbele inkoopfactuur 1 aanmaken,2025-05-10 07:42:42,2025-05-10 07:43:17,35173,Succeeded
Aanmaken vast activa in ICT B.V. (testen POA 293743),2025-05-10 07:43:19,2025-05-10 07:43:38,19541,Succeeded
Afschrijvingen triggeren ICT B.V.,2025-05-10 07:43:38,2025-05-10 07:43:49,10061,Succeeded
Aanmaken vaste activa - Consultancy B.V.,2025-05-10 07:43:50,2025-05-10 07:44:09,18860,Succeeded
Afschrijvingen triggeren,2025-05-10 07:44:09,2025-05-10 07:44:18,8856,Succeeded
Incassomachtigingen toevoegen in ICT B.V.,2025-05-10 07:44:19,2025-05-10 07:44:47,28471,Succeeded
Aanmaken verkoopfactuur met betaalwijze Incasso tbv controlelijst betalingen onderweg,2025-05-10 07:44:48,2025-05-10 07:45:43,55130,Succeeded
Betaling doen in Holding B.V.,2025-05-10 07:45:44,2025-05-10 07:47:12,87321,Succeeded
Controle op de betaling doen (betaalbestand controleren van Holding B.V.),2025-05-10 07:47:12,2025-05-10 07:47:21,9311,Succeeded
Voorbereiding - Bankmutatie negatief overige uitgave met sneltoetsen toevoegen,2025-05-10 07:47:22,2025-05-10 07:47:32,9644,Succeeded
Match op zoekwaarde (Uitgave),2025-05-10 07:47:33,2025-05-10 07:47:49,16339,Succeeded
Match op zoekwaarde (Ontvangst),2025-05-10 07:47:51,2025-05-10 07:48:03,12498,Succeeded
Match op zoekwaarde incl. btw (Uitgave),2025-05-10 07:48:04,2025-05-10 07:48:21,16829,Succeeded
Match op zoekwaarde incl. btw (Ontvangst),2025-05-10 07:48:22,2025-05-10 07:48:47,24919,Succeeded
Afletterregel VPB (betalingskenmerk belastingdienst),2025-05-10 07:48:48,2025-05-10 07:49:20,31169,Succeeded
Afletterregel OB (betalingskenmerk belastingdienst),2025-05-10 07:49:21,2025-05-10 07:49:33,11940,Succeeded
Controle afletterregel OB (betalingskenmerk belastingdienst),2025-05-10 07:49:33,2025-05-10 07:49:44,11141,Succeeded
Afletterregel overboeking naar/overboeking van,2025-05-10 07:49:45,2025-05-10 07:51:02,77042,Succeeded
