description,startTime,endTime,duration,status
Aanmaken aanmaken met gebruik van de KvK koppeling in een geconverteerde omgeving - Mantel Utrecht B.V.,2025-05-11 06:26:02,2025-05-11 06:31:51,349090,Succeeded
Instellen variabelen administratie urls na aanmaken adminstratie,2025-05-11 06:31:52,2025-05-11 06:31:53,940,Succeeded
Instellen variabelen administratie urls 3,2025-05-11 06:31:54,2025-05-11 06:31:55,718,Succeeded
Instellen variabelen,2025-05-11 06:31:55,2025-05-11 06:31:56,674,Succeeded
Instellen variabelen administratie urls 1,2025-05-11 06:31:57,2025-05-11 06:32:05,8186,Succeeded
Aanmaken nieuwe auditfile op basis van boekjaar in ICT B.V.,2025-05-11 06:32:05,2025-05-11 06:33:52,107222,Succeeded
Aanmaken nieuwe auditfile op basis van periode in ICT B.V.,2025-05-11 06:33:53,2025-05-11 06:34:17,24131,Succeeded
Importeren Import definities part 7,2025-05-11 06:34:19,2025-05-11 06:34:50,30779,Succeeded
Importeren Import definities part 6,2025-05-11 06:34:51,2025-05-11 06:35:21,29537,Succeeded
Importeren Import definities part 5,2025-05-11 06:35:22,2025-05-11 06:35:50,28017,Succeeded
Importeren Import definities part 4,2025-05-11 06:35:51,2025-05-11 06:37:13,82311,Succeeded
Importeren Import definities part 3,2025-05-11 06:37:15,2025-05-11 06:37:49,34200,Succeeded
Importeren Import definities part 2,2025-05-11 06:37:50,2025-05-11 06:38:18,27735,Succeeded
Importeren Import definities part 1,2025-05-11 06:38:19,2025-05-11 06:38:53,33786,Succeeded
Import volledige e-inkoopfactuur,2025-05-11 06:38:54,2025-05-11 06:39:48,54312,Succeeded
Import onvolledige e-inkoopfactuur,2025-05-11 06:39:48,2025-05-11 06:40:04,15030,Succeeded
Grootboekrekening wijzigen,2025-05-11 06:40:05,2025-05-11 06:40:31,25927,Succeeded
Grootboekrekening kopiëren,2025-05-11 06:40:31,2025-05-11 06:40:45,13779,Succeeded
Controle op conversie van geblokkeerde grootboekrekening - Nummer mag niet leeg zijn,2025-05-11 06:40:45,2025-05-11 06:40:55,9867,Succeeded
Verkoopregels activering aan ict b.v.,2025-05-11 06:40:56,2025-05-11 06:41:11,14516,Succeeded
Activering verkoopregels aan in import b.v.,2025-05-11 06:41:12,2025-05-11 06:42:13,60672,Succeeded
Verkoopproduct voor gebruik forfatair / Speciaal tarief toevoegen,2025-05-11 06:42:14,2025-05-11 06:43:05,51302,Succeeded
Activering inschakelen voor verkoop op rekening met forfatair / Speciaal btw-tarief,2025-05-11 06:43:05,2025-05-11 06:43:25,19401,Succeeded
Voorbereiding - Verkoop op rekening met forfatair / Speciaal btw-tarief,2025-05-11 06:43:25,2025-05-11 06:43:58,32884,Succeeded
Controle van fiscale plan bij vaste activa. Restwaarde moet aangevinkt zijn.,2025-05-11 06:43:59,2025-05-11 06:46:02,122700,Succeeded
inrichten van betalingskorting op de inkoopfactuur - crediteur niveau,2025-05-11 06:46:03,2025-05-11 06:46:18,15060,Succeeded
Aanmaken Rabobank rekening bij Holding t.b.v. inlezen Rabobank Payments Insight bestand.,2025-05-11 06:46:19,2025-05-11 06:46:46,26628,Succeeded
Aanmaken ondernemer in Internet,2025-05-11 06:46:47,2025-05-11 06:47:04,17095,Succeeded
Nieuwe ING bank/spaarrekening NL05INGB6289099205 toevoegen,2025-05-11 06:47:06,2025-05-11 06:48:13,67509,Succeeded
Dubbele inkoopfactuur 1 aanmaken,2025-05-11 06:48:15,2025-05-11 06:48:49,34582,Succeeded
Aanmaken vast activa in ICT B.V. (testen POA 293743),2025-05-11 06:48:51,2025-05-11 06:49:10,19705,Succeeded
Afschrijvingen triggeren ICT B.V.,2025-05-11 06:49:10,2025-05-11 06:49:21,10080,Succeeded
Aanmaken vaste activa - Consultancy B.V.,2025-05-11 06:49:22,2025-05-11 06:49:41,18819,Succeeded
Afschrijvingen triggeren,2025-05-11 06:49:41,2025-05-11 06:49:50,8877,Succeeded
Incassomachtigingen toevoegen in ICT B.V.,2025-05-11 06:49:51,2025-05-11 06:50:20,28929,Succeeded
Aanmaken verkoopfactuur met betaalwijze Incasso tbv controlelijst betalingen onderweg,2025-05-11 06:50:20,2025-05-11 06:51:14,53531,Succeeded
Betaling doen in Holding B.V.,2025-05-11 06:51:15,2025-05-11 06:52:43,87839,Succeeded
Controle op de betaling doen (betaalbestand controleren van Holding B.V.),2025-05-11 06:52:43,2025-05-11 06:52:53,9689,Succeeded
Voorbereiding - Bankmutatie negatief overige uitgave met sneltoetsen toevoegen,2025-05-11 06:52:54,2025-05-11 06:53:04,9733,Succeeded
Match op zoekwaarde (Uitgave),2025-05-11 06:53:05,2025-05-11 06:53:22,16372,Succeeded
Match op zoekwaarde (Ontvangst),2025-05-11 06:53:23,2025-05-11 06:53:35,12647,Succeeded
Match op zoekwaarde incl. btw (Uitgave),2025-05-11 06:53:37,2025-05-11 06:53:53,16675,Succeeded
Match op zoekwaarde incl. btw (Ontvangst),2025-05-11 06:53:54,2025-05-11 06:54:19,24817,Succeeded
Afletterregel VPB (betalingskenmerk belastingdienst),2025-05-11 06:54:21,2025-05-11 06:54:54,33149,Succeeded
Afletterregel OB (betalingskenmerk belastingdienst),2025-05-11 06:54:55,2025-05-11 06:55:07,12573,Succeeded
Controle afletterregel OB (betalingskenmerk belastingdienst),2025-05-11 06:55:08,2025-05-11 06:55:19,11374,Succeeded
Afletterregel overboeking naar/overboeking van,2025-05-11 06:55:20,2025-05-11 06:56:34,74037,Succeeded
Afletterregel Motorrijtuigenbelasting (betalingskenmerk belastingdienst),2025-05-11 06:56:36,2025-05-11 06:56:44,8583,Succeeded
Afletterregel loonheffing naheffing (betalingskenmerk belastingdienst) niet afletteren,2025-05-11 06:56:45,2025-05-11 06:56:58,12387,Succeeded
Afletterregel loonheffing naheffing (betalingskenmerk belastingdienst),2025-05-11 06:56:59,2025-05-11 06:57:10,10937,Succeeded
Afletterregel loonheffing (betalingskenmerk belastingdienst),2025-05-11 06:57:11,2025-05-11 06:57:22,11137,Succeeded
Afletterregel Loonheffing november 2023,2025-05-11 06:57:23,2025-05-11 06:57:32,9052,Succeeded
Afletterregel kas (Uitgave),2025-05-11 06:57:33,2025-05-11 06:57:53,19823,Succeeded
Afletterregel kas (Ontvangst),2025-05-11 06:57:54,2025-05-11 06:58:14,19453,Succeeded
Afletterregel IB (betalingskenmerk belastingdienst),2025-05-11 06:58:15,2025-05-11 06:58:42,27031,Succeeded
Aanmaken afletterregel bank op deel van omschrijving en tegenrekening,2025-05-11 06:58:43,2025-05-11 06:58:54,10964,Succeeded
Vooruitontvangst via memoriaal,2025-05-11 06:58:56,2025-05-11 07:01:04,127848,Succeeded
Vooruitbetaling via memoriaal,2025-05-11 07:01:05,2025-05-11 07:02:07,62176,Succeeded
Openstaande post (crediteur) volledig boeken op betalingsverschillen,2025-05-11 07:02:09,2025-05-11 07:02:59,50549,Succeeded
Openstaande post crediteur boeken op twee grootboekrekeningen,2025-05-11 07:03:00,2025-05-11 07:03:56,55614,Succeeded
Openstaande posten TG 6,2025-05-11 07:03:57,2025-05-11 07:07:12,194905,Succeeded
Openstaande posten TG 4,2025-05-11 07:07:13,2025-05-11 07:20:08,774584,Succeeded
Vaste boeking niet in balans foutmelding,2025-05-11 07:20:10,2025-05-11 07:20:25,15964,Succeeded
Vaste boeking aanmaken,2025-05-11 07:20:27,2025-05-11 07:20:47,20043,Succeeded
Vaste boeking wijzigen,2025-05-11 07:20:47,2025-05-11 07:21:16,29395,Succeeded
Vaste boeking multiselect,2025-05-11 07:21:17,2025-05-11 07:21:50,33192,Succeeded
Vaste boeking verwijderen,2025-05-11 07:21:50,2025-05-11 07:22:05,14945,Succeeded
Nieuwe ING bank/spaarrekening NL44INGB6296399693 toevoegen,2025-05-11 07:22:06,2025-05-11 07:22:41,35009,Succeeded
Positief boeken van bankrekening naar spaarrekening,2025-05-11 07:22:42,2025-05-11 07:23:00,17983,Succeeded
Negatief boeken van de bankrekening naar de spaarrekening,2025-05-11 07:23:00,2025-05-11 07:23:20,20240,Succeeded
Positieve rente boeken op de spaarrekening NL44INGB6296399693,2025-05-11 07:23:20,2025-05-11 07:23:42,22108,Succeeded
Negatieve rente boeken op de spaarrekening NL44INGB6296399693,2025-05-11 07:23:43,2025-05-11 07:24:12,29265,Succeeded
Controle bij de bankrekening op saldo.,2025-05-11 07:24:12,2025-05-11 07:24:56,43710,Succeeded
Positieve rente boeken op de spaarrekening NL05INGB6289099205,2025-05-11 07:24:57,2025-05-11 07:25:06,9068,Succeeded
Negatieve rente boeken op de spaarrekening NL05INGB6289099205,2025-05-11 07:25:08,2025-05-11 07:25:17,9448,Succeeded
Aanmaken VF met betaalwijze cc,2025-05-11 07:25:18,2025-05-11 07:25:47,29124,Succeeded
Bankmutatie voor de verkoopfactuur met betaling via cc,2025-05-11 07:25:47,2025-05-11 07:26:16,28467,Succeeded
Bankmutatie afletteren voor de verkoopfactuur met betaling via cc,2025-05-11 07:26:16,2025-05-11 07:36:59,642814,Succeeded
